"rowid","orderid","orderdate","sales","quantity","discount","profit","shipdate","customerid","shipmentid"
1710,"CA-2017-123491","2017-10-30","71.99",1,"0.20","-0.90","2017-11-05","JK-15205",2
1711,"CA-2017-123491","2017-10-30","19.90",5,"0.00","6.57","2017-11-05","JK-15205",2
1712,"CA-2017-123491","2017-10-30","1702.12",14,"0.00","510.64","2017-11-05","JK-15205",2
1713,"CA-2015-145401","2015-01-30","14.30",6,"0.20","5.01","2015-02-04","JP-15520",2
1714,"US-2017-124968","2017-09-08","765.63",7,"0.50","-566.56","2017-09-13","MM-18055",4
1715,"CA-2017-104003","2017-10-07","307.67",2,"0.15","-14.48","2017-10-13","DC-13285",2
1716,"CA-2016-154788","2016-04-30","7.71",2,"0.20","2.80","2016-05-04","JL-15835",2
1717,"CA-2016-169943","2016-05-19","242.90",5,"0.00","70.44","2016-05-24","BN-11515",2
1718,"CA-2016-169943","2016-05-19","454.90",5,"0.00","0.00","2016-05-24","BN-11515",2
1719,"CA-2016-169943","2016-05-19","35.92",4,"0.00","15.09","2016-05-24","BN-11515",2
1720,"CA-2016-169943","2016-05-19","39.76",8,"0.00","12.33","2016-05-24","BN-11515",2
1721,"CA-2016-169943","2016-05-19","47.74",4,"0.20","14.92","2016-05-24","BN-11515",2
1722,"US-2015-123218","2015-12-20","159.98",2,"0.20","12.00","2015-12-25","KD-16345",2
1723,"US-2015-123218","2015-12-20","255.97",4,"0.20","51.19","2015-12-25","KD-16345",2
1724,"US-2015-123218","2015-12-20","359.06",3,"0.30","-71.81","2015-12-25","KD-16345",2
1725,"CA-2015-127453","2015-12-19","434.35",3,"0.20","43.44","2015-12-20","JK-15370",1
1726,"CA-2015-127453","2015-12-19","3.55",2,"0.20","0.44","2015-12-20","JK-15370",1
1727,"CA-2015-127453","2015-12-19","88.83",4,"0.20","7.77","2015-12-20","JK-15370",1
1728,"US-2017-164056","2017-04-29","1048.35",5,"0.40","-69.89","2017-05-04","FM-14215",4
1729,"CA-2016-106894","2016-02-07","100.00",4,"0.00","21.00","2016-02-07","CA-12265",3
1730,"CA-2016-106894","2016-02-07","7.83",3,"0.00","3.60","2016-02-07","CA-12265",3
1731,"CA-2014-125136","2014-09-28","96.26",8,"0.20","31.28","2014-10-03","KD-16495",2
1732,"CA-2014-125136","2014-09-28","10.69",2,"0.20","3.74","2014-10-03","KD-16495",2
1733,"US-2016-131149","2016-07-10","338.04",3,"0.20","-33.80","2016-07-14","LH-17155",2
1734,"US-2016-131149","2016-07-10","154.24",4,"0.20","17.35","2016-07-14","LH-17155",2
1735,"CA-2017-101483","2017-07-29","34.85",2,"0.20","6.53","2017-08-01","AG-10675",4
1736,"CA-2017-101483","2017-07-29","22.00",5,"0.20","1.38","2017-08-01","AG-10675",4
1737,"CA-2017-101483","2017-07-29","4.37",3,"0.20","0.38","2017-08-01","AG-10675",4
1738,"CA-2015-130204","2015-09-03","31.44",3,"0.00","8.49","2015-09-09","DB-13120",2
1739,"CA-2015-130204","2015-09-03","17.90",2,"0.00","3.40","2015-09-09","DB-13120",2
1740,"CA-2015-130204","2015-09-03","129.45",5,"0.00","46.60","2015-09-09","DB-13120",2
1741,"CA-2014-110527","2014-08-09","20.88",8,"0.00","9.60","2014-08-16","ED-13885",2
1742,"CA-2017-152807","2017-10-30","20.74",4,"0.20","7.26","2017-11-03","MC-18100",2
1743,"CA-2017-152807","2017-10-30","7.17",2,"0.20","0.99","2017-11-03","MC-18100",2
1744,"CA-2017-152807","2017-10-30","11.17",2,"0.20","-2.51","2017-11-03","MC-18100",2
1745,"CA-2017-152807","2017-10-30","442.40",7,"0.20","-55.30","2017-11-03","MC-18100",2
1746,"CA-2014-133270","2014-06-06","13.36",2,"0.00","4.94","2014-06-09","BM-11785",1
1747,"CA-2016-155670","2016-08-13","11.23",8,"0.70","-8.24","2016-08-17","EM-14065",4
1748,"CA-2016-155670","2016-08-13","10.27",3,"0.20","3.21","2016-08-17","EM-14065",4
1749,"US-2014-157406","2014-04-25","10.37",2,"0.20","3.63","2014-04-29","DA-13450",2
1750,"US-2014-157406","2014-04-25","6.24",3,"0.20","0.55","2014-04-29","DA-13450",2
1751,"CA-2015-139094","2015-11-22","206.96",2,"0.30","-32.52","2015-11-27","MO-17800",2
1752,"CA-2017-168837","2017-10-14","9.46",2,"0.00","3.69","2017-10-17","JW-15955",1
1753,"CA-2017-116715","2017-12-02","559.62",9,"0.00","151.10","2017-12-05","VW-21775",1
1754,"CA-2017-116715","2017-12-02","109.92",2,"0.00","53.86","2017-12-05","VW-21775",1
1755,"CA-2017-116715","2017-12-02","8.56",2,"0.00","3.85","2017-12-05","VW-21775",1
1756,"CA-2015-135622","2015-12-08","360.71",11,"0.20","130.76","2015-12-11","TT-21460",4
1757,"CA-2015-135622","2015-12-08","1718.40",6,"0.20","150.36","2015-12-11","TT-21460",4
1758,"US-2015-107349","2015-07-13","41.57",6,"0.80","-66.51","2015-07-15","SL-20155",1
1759,"CA-2014-139017","2014-05-11","46.86",2,"0.20","7.62","2014-05-17","RM-19375",2
1760,"CA-2014-141817","2014-01-05","19.54",3,"0.20","4.88","2014-01-12","MB-18085",2
1761,"CA-2015-130785","2015-09-05","411.33",4,"0.15","-4.84","2015-09-09","AG-10900",2
1762,"CA-2015-130785","2015-09-05","28.75",6,"0.20","9.70","2015-09-09","AG-10900",2
1763,"CA-2015-130785","2015-09-05","293.20",3,"0.15","-20.70","2015-09-09","AG-10900",2
1764,"CA-2016-110254","2016-08-04","35.06",2,"0.00","10.52","2016-08-08","ML-17755",2
1765,"CA-2016-110254","2016-08-04","4.13",1,"0.00","1.90","2016-08-08","ML-17755",2
1766,"CA-2016-110254","2016-08-04","109.80",9,"0.00","46.12","2016-08-08","ML-17755",2
1767,"CA-2016-110254","2016-08-04","9.82",2,"0.00","4.81","2016-08-08","ML-17755",2
1768,"US-2014-158057","2014-03-22","7.64",4,"0.70","-5.86","2014-03-26","CC-12685",2
1769,"US-2014-158057","2014-03-22","51.47",5,"0.70","-39.46","2014-03-26","CC-12685",2
1770,"CA-2017-146024","2017-03-02","6.98",4,"0.20","-1.40","2017-03-08","SC-20770",2
1771,"CA-2017-146024","2017-03-02","12.22",7,"0.80","-20.17","2017-03-08","SC-20770",2
1772,"CA-2016-129686","2016-11-27","97.98",2,"0.20","-24.50","2016-11-29","GG-14650",4
1773,"CA-2016-129686","2016-11-27","62.40",6,"0.20","19.50","2016-11-29","GG-14650",4
1774,"CA-2014-118976","2014-04-28","20.86",2,"0.00","9.39","2014-05-03","MY-18295",2
1775,"CA-2014-118976","2014-04-28","497.61",9,"0.00","129.38","2014-05-03","MY-18295",2
1776,"CA-2014-118976","2014-04-28","5.34",2,"0.00","1.50","2014-05-03","MY-18295",2
1777,"CA-2014-118976","2014-04-28","3.15",1,"0.00","1.51","2014-05-03","MY-18295",2
1778,"CA-2015-105347","2015-11-24","368.91",9,"0.00","180.77","2015-11-28","DP-13000",2
1779,"CA-2015-105347","2015-11-24","14.70",5,"0.00","6.62","2015-11-28","DP-13000",2
1780,"CA-2016-124667","2016-11-11","59.97",3,"0.00","14.99","2016-11-16","BD-11770",2
1781,"CA-2016-124667","2016-11-11","83.36",1,"0.00","20.84","2016-11-16","BD-11770",2
1782,"CA-2015-111094","2015-07-09","6.58",2,"0.00","3.03","2015-07-13","CB-12535",2
1783,"CA-2015-111094","2015-07-09","122.94",3,"0.00","59.01","2015-07-13","CB-12535",2
1784,"CA-2017-166317","2017-09-22","219.84",4,"0.00","107.72","2017-09-26","JE-15610",2
1785,"CA-2017-166317","2017-09-22","98.16",6,"0.00","9.82","2017-09-26","JE-15610",2
1786,"CA-2017-166317","2017-09-22","33.04",8,"0.00","15.53","2017-09-26","JE-15610",2
1787,"CA-2017-166317","2017-09-22","86.97",3,"0.00","25.22","2017-09-26","JE-15610",2
1788,"CA-2015-154326","2015-02-15","134.97",3,"0.00","64.79","2015-02-19","RP-19855",2
1789,"CA-2015-154326","2015-02-15","699.98",2,"0.00","195.99","2015-02-19","RP-19855",2
1790,"CA-2015-154326","2015-02-15","139.95",5,"0.00","26.59","2015-02-19","RP-19855",2
1791,"CA-2014-102008","2014-09-30","48.94",1,"0.00","24.47","2014-10-04","RA-19915",2
1792,"CA-2014-120474","2014-12-01","2807.84",8,"0.00","673.88","2014-12-03","RP-19390",1
1793,"CA-2014-120474","2014-12-01","46.64",4,"0.00","12.59","2014-12-03","RP-19390",1
1794,"CA-2014-104773","2014-12-08","60.42",2,"0.20","6.04","2014-12-13","TB-21175",2
1795,"CA-2016-140774","2016-09-05","107.94",3,"0.00","26.99","2016-09-10","BE-11455",2
1796,"US-2017-139465","2017-08-27","63.84",8,"0.00","16.60","2017-08-30","MR-17545",1
1797,"US-2017-139465","2017-08-27","347.97",3,"0.00","100.91","2017-08-30","MR-17545",1
1798,"US-2017-139465","2017-08-27","37.01",6,"0.20","11.57","2017-08-30","MR-17545",1
1799,"CA-2016-100965","2016-07-07","215.65",5,"0.00","73.32","2016-07-11","RM-19375",2
1800,"CA-2016-121034","2016-08-08","11.17",4,"0.20","3.63","2016-08-10","JF-15565",4
1801,"CA-2016-121034","2016-08-08","53.95",3,"0.20","17.53","2016-08-10","JF-15565",4
1802,"CA-2016-149461","2016-11-13","4.18",1,"0.00","1.50","2016-11-19","AS-10135",2
1803,"CA-2017-158379","2017-09-22","5.61",1,"0.70","-4.30","2017-09-26","JA-15970",4
1804,"CA-2017-158379","2017-09-22","4663.74",7,"0.20","-1049.34","2017-09-26","JA-15970",4
1805,"CA-2017-158379","2017-09-22","79.98",2,"0.20","23.00","2017-09-26","JA-15970",4
1806,"US-2016-116729","2016-12-25","2575.94",7,"0.20","257.59","2016-12-28","GK-14620",1
1807,"US-2016-116729","2016-12-25","45.36",7,"0.00","21.77","2016-12-28","GK-14620",1
1808,"US-2016-116729","2016-12-25","254.24",7,"0.00","76.27","2016-12-28","GK-14620",1
1809,"CA-2016-164938","2016-02-11","69.93",7,"0.00","0.70","2016-02-13","PB-19210",1
1810,"CA-2016-165484","2016-10-23","16.16",7,"0.60","-12.12","2016-10-29","HK-14890",2
1811,"CA-2016-165484","2016-10-23","54.82",3,"0.20","17.82","2016-10-29","HK-14890",2
1812,"CA-2014-132612","2014-06-09","1441.30",7,"0.00","245.02","2014-06-11","FO-14305",4
1813,"US-2017-161193","2017-11-20","77.60",5,"0.20","28.13","2017-11-26","BT-11680",2
1814,"US-2017-161193","2017-11-20","4.66",2,"0.20","1.57","2017-11-26","BT-11680",2
1815,"CA-2015-131597","2015-09-14","170.14",3,"0.20","-8.51","2015-09-18","SP-20620",2
1816,"CA-2015-164833","2015-06-04","7.38",2,"0.00","3.47","2015-06-04","LL-16840",3
1817,"CA-2015-164833","2015-06-04","9.26",2,"0.00","3.06","2015-06-04","LL-16840",3
1818,"CA-2015-125423","2015-12-13","9.96",2,"0.00","4.58","2015-12-15","MC-17575",4
1819,"US-2014-130379","2014-05-25","75.60",2,"0.80","-166.32","2014-05-29","JL-15235",2
1820,"US-2014-130379","2014-05-25","29.32",2,"0.60","-24.19","2014-05-29","JL-15235",2
1821,"CA-2016-168956","2016-02-16","92.06",6,"0.80","-225.56","2016-02-20","EA-14035",2
1822,"CA-2016-168956","2016-02-16","6.98",4,"0.20","1.83","2016-02-20","EA-14035",2
1823,"CA-2016-168956","2016-02-16","62.96",3,"0.30","-2.70","2016-02-20","EA-14035",2
1824,"CA-2016-168956","2016-02-16","5.18",1,"0.20","1.81","2016-02-20","EA-14035",2
1825,"CA-2016-167507","2016-12-22","31.32",10,"0.70","-25.06","2016-12-28","SA-20830",2
1826,"CA-2016-167507","2016-12-22","11.84",4,"0.20","3.11","2016-12-28","SA-20830",2
1827,"CA-2016-167507","2016-12-22","22.78",1,"0.20","4.84","2016-12-28","SA-20830",2
1828,"CA-2016-109344","2016-02-08","1127.98",3,"0.20","126.90","2016-02-11","CH-12070",4
1829,"US-2015-140851","2015-07-13","38.88",6,"0.00","18.66","2015-07-15","ND-18460",4
1830,"CA-2014-103373","2014-05-18","779.80",2,"0.40","-168.96","2014-05-24","BS-11755",2
1831,"CA-2017-145884","2017-10-21","1439.92",8,"0.00","374.38","2017-10-21","SL-20155",3
1832,"CA-2017-145884","2017-10-21","262.11",1,"0.00","62.91","2017-10-21","SL-20155",3
1833,"CA-2015-131422","2015-11-05","207.00",3,"0.20","25.88","2015-11-09","GB-14530",2
1834,"CA-2017-162691","2017-08-01","1439.98",3,"0.40","-264.00","2017-08-07","AS-10045",2
1835,"CA-2017-162691","2017-08-01","36.29",7,"0.20","12.70","2017-08-07","AS-10045",2
1836,"CA-2014-141278","2014-06-21","21.40",5,"0.00","6.21","2014-06-24","RM-19375",1
1837,"CA-2017-122693","2017-02-19","1245.86",7,"0.00","361.30","2017-02-21","NH-18610",4
1838,"CA-2014-117345","2014-08-01","17.54",3,"0.20","5.92","2014-08-05","BF-10975",2
1839,"CA-2014-117345","2014-08-01","44.13",4,"0.20","12.14","2014-08-05","BF-10975",2
1840,"CA-2014-117345","2014-08-01","62.92",1,"0.20","10.22","2014-08-05","BF-10975",2
1841,"CA-2014-117345","2014-08-01","78.30",2,"0.20","29.36","2014-08-05","BF-10975",2
1842,"CA-2016-157763","2016-07-18","140.81",1,"0.00","39.43","2016-07-23","KH-16330",2
1843,"CA-2015-135391","2015-02-09","40.10",4,"0.20","13.53","2015-02-11","FA-14230",4
1844,"CA-2015-135391","2015-02-09","40.78",2,"0.60","-30.59","2015-02-11","FA-14230",4
1845,"US-2017-113852","2017-07-29","90.57",3,"0.00","11.77","2017-08-02","GW-14605",2
1846,"US-2017-158512","2017-01-12","40.08",6,"0.00","19.24","2017-01-17","DA-13450",4
1847,"US-2017-158512","2017-01-12","37.68",2,"0.00","15.83","2017-01-17","DA-13450",4
1848,"CA-2017-128370","2017-09-10","362.35",3,"0.20","27.18","2017-09-10","FH-14275",3
1849,"CA-2017-128370","2017-09-10","7.18",2,"0.20","2.25","2017-09-10","FH-14275",3
1850,"CA-2015-160472","2015-07-20","34.76",1,"0.00","9.73","2015-07-25","RK-19300",4
1851,"CA-2015-160472","2015-07-20","831.20",5,"0.00","124.68","2015-07-25","RK-19300",4
1852,"CA-2015-160472","2015-07-20","26.40",5,"0.00","11.88","2015-07-25","RK-19300",4
1853,"CA-2015-160472","2015-07-20","106.75",7,"0.00","49.11","2015-07-25","RK-19300",4
1854,"CA-2015-160472","2015-07-20","97.82",2,"0.00","45.98","2015-07-25","RK-19300",4
1855,"CA-2015-160472","2015-07-20","141.40",5,"0.00","38.18","2015-07-25","RK-19300",4
1856,"CA-2014-114643","2014-06-13","14.52",3,"0.00","4.79","2014-06-17","FM-14215",2
1857,"US-2017-158218","2017-05-12","127.92",5,"0.20","-15.99","2017-05-15","AC-10420",4
1858,"US-2017-158218","2017-05-12","34.24",4,"0.80","-53.07","2017-05-15","AC-10420",4
1859,"CA-2015-121608","2015-09-03","137.62",2,"0.00","60.55","2015-09-05","JB-15400",1
1860,"CA-2015-121608","2015-09-03","100.49",1,"0.00","25.12","2015-09-05","JB-15400",1
1861,"US-2017-121251","2017-03-26","257.57",2,"0.20","-28.98","2017-03-27","GM-14440",1
1862,"US-2017-121251","2017-03-26","119.96",4,"0.00","33.59","2017-03-27","GM-14440",1
1863,"CA-2014-151078","2014-11-12","49.63",4,"0.20","4.96","2014-11-12","RF-19840",3
1864,"US-2016-100839","2016-10-13","727.45",5,"0.50","-465.57","2016-10-17","NC-18625",2
1865,"US-2016-100839","2016-10-13","24.96",3,"0.20","4.37","2016-10-17","NC-18625",2
1866,"US-2017-116659","2017-11-12","370.78",3,"0.40","-92.70","2017-11-12","NG-18355",3
1867,"CA-2017-118857","2017-04-15","196.45",5,"0.00","70.72","2017-04-18","AH-10075",1
1868,"CA-2015-127110","2015-06-25","31.10",6,"0.20","10.89","2015-07-01","CH-12070",2
1869,"CA-2015-127110","2015-06-25","78.26",2,"0.20","-17.61","2015-07-01","CH-12070",2
1870,"CA-2016-148201","2016-08-26","6.48",1,"0.00","3.11","2016-08-29","CC-12145",4
1871,"CA-2014-116932","2014-07-21","99.20",5,"0.00","25.79","2014-07-25","ME-18010",2
1872,"CA-2014-116932","2014-07-21","801.57",2,"0.20","50.10","2014-07-25","ME-18010",2
1873,"CA-2014-116932","2014-07-21","272.85",1,"0.20","27.28","2014-07-25","ME-18010",2
1874,"CA-2017-142888","2017-11-21","70.98",1,"0.00","20.58","2017-11-25","BP-11230",2
1875,"CA-2014-147914","2014-06-04","16.22",2,"0.20","5.88","2014-06-09","MP-17470",2
1876,"US-2016-112977","2016-03-10","176.78",1,"0.20","-22.10","2016-03-16","CJ-12010",2
1877,"CA-2017-112039","2017-03-25","470.38",3,"0.20","47.04","2017-03-29","JC-15775",2
1878,"CA-2017-118885","2017-12-29","393.57",4,"0.20","-44.28","2018-01-02","JG-15160",2
1879,"CA-2017-118885","2017-12-29","302.38",3,"0.20","22.68","2018-01-02","JG-15160",2
1880,"US-2017-166611","2017-03-28","68.74",9,"0.70","-48.12","2017-04-02","CK-12760",2
1881,"CA-2015-109512","2015-03-05","29.34",3,"0.00","14.67","2015-03-05","LF-17185",3
1882,"CA-2015-109512","2015-03-05","383.61",7,"0.10","63.93","2015-03-05","LF-17185",3
1883,"CA-2015-109512","2015-03-05","563.40",4,"0.00","67.61","2015-03-05","LF-17185",3
1884,"CA-2016-118570","2016-11-13","217.06",7,"0.20","78.68","2016-11-17","CC-12430",2
1885,"CA-2017-154718","2017-01-19","6.00",2,"0.20","2.10","2017-01-23","DL-12865",4
1886,"CA-2016-147578","2016-04-22","31.56",3,"0.00","10.41","2016-04-26","PG-18895",4
1887,"CA-2014-140165","2014-05-13","7.10",2,"0.20","2.40","2014-05-15","EH-14005",1
1888,"CA-2014-140165","2014-05-13","398.35",8,"0.70","-331.96","2014-05-15","EH-14005",1
1889,"CA-2014-142587","2014-10-21","121.79",4,"0.20","13.70","2014-10-22","TB-21520",1
1890,"CA-2014-142587","2014-10-21","409.59",3,"0.40","-122.88","2014-10-22","TB-21520",1
1891,"CA-2014-157623","2014-03-14","10.56",2,"0.00","4.75","2014-03-18","DK-13225",2
1892,"CA-2014-157623","2014-03-14","3.38",1,"0.00","1.25","2014-03-18","DK-13225",2
1893,"CA-2017-145310","2017-12-22","7.82",1,"0.20","2.93","2017-12-24","JP-15520",4
1894,"CA-2016-100083","2016-11-24","24.78",1,"0.20","7.75","2016-11-29","CD-11980",2
1895,"US-2017-108063","2017-12-02","34.65",3,"0.00","10.40","2017-12-05","AS-10090",1
1896,"CA-2015-109197","2015-12-31","487.98",2,"0.20","152.50","2016-01-04","JO-15280",2
1897,"CA-2017-141789","2017-10-03","1793.98",2,"0.00","843.17","2017-10-06","AC-10450",1
1898,"CA-2014-169775","2014-08-29","29.81",2,"0.20","10.81","2014-09-02","RA-19945",4
1899,"CA-2014-169775","2014-08-29","505.18",4,"0.70","-336.78","2014-09-02","RA-19945",4
1900,"CA-2014-169775","2014-08-29","174.06",3,"0.45","-110.76","2014-09-02","RA-19945",4
1901,"CA-2016-140543","2016-06-29","191.88",6,"0.00","19.19","2016-07-03","Co-12640",4
1902,"CA-2016-151141","2016-08-20","14.78",2,"0.00","3.99","2016-08-23","DW-13480",1
1903,"CA-2017-167094","2017-10-21","5.18",1,"0.20","1.81","2017-10-22","DK-12835",1
1904,"CA-2017-167094","2017-10-21","478.48",2,"0.20","47.85","2017-10-22","DK-12835",1
1905,"CA-2017-167094","2017-10-21","28.40",2,"0.20","6.75","2017-10-22","DK-12835",1
1906,"CA-2017-154410","2017-10-21","909.12",8,"0.00","9.09","2017-10-24","MD-17860",1
1907,"US-2016-150567","2016-05-17","2.95",2,"0.70","-2.16","2016-05-21","RP-19855",2
1908,"US-2016-150567","2016-05-17","27.02",6,"0.70","-21.61","2016-05-21","RP-19855",2
1909,"CA-2015-157959","2015-02-03","136.92",4,"0.00","41.08","2015-02-04","RW-19540",1
1910,"CA-2017-105886","2017-12-18","18.96",2,"0.00","8.53","2017-12-23","DB-13660",2
1911,"CA-2016-105963","2016-11-15","99.39",3,"0.00","40.75","2016-11-22","SC-20770",2
1912,"CA-2017-121503","2017-07-03","273.90",7,"0.20","92.44","2017-07-06","FH-14275",4
1913,"CA-2017-121503","2017-07-03","597.13",3,"0.40","49.76","2017-07-06","FH-14275",4
1914,"CA-2014-103366","2014-01-15","149.95",5,"0.00","65.98","2014-01-17","EH-13990",1
1915,"CA-2017-124597","2017-04-30","4.61",2,"0.20","1.67","2017-05-05","AS-10630",2
1916,"CA-2017-124597","2017-04-30","15.53",3,"0.20","4.85","2017-05-05","AS-10630",2
1917,"CA-2017-124597","2017-04-30","11.95",3,"0.20","3.88","2017-05-05","AS-10630",2
1918,"CA-2015-105634","2015-11-08","11.65",5,"0.00","3.38","2015-11-14","HA-14905",2
1919,"CA-2015-123673","2015-10-30","299.90",2,"0.00","74.98","2015-11-01","CH-12070",4
1920,"US-2017-111423","2017-08-17","895.92",5,"0.20","302.37","2017-08-19","EH-13765",1
1921,"US-2017-111423","2017-08-17","462.56",2,"0.10","97.65","2017-08-19","EH-13765",1
1922,"CA-2015-125178","2015-10-03","15.01",2,"0.20","1.50","2015-10-09","MZ-17515",2
1923,"CA-2016-156685","2016-07-08","863.64",9,"0.20","107.96","2016-07-10","SC-20230",4
1924,"CA-2016-156685","2016-07-08","47.62",3,"0.20","3.57","2016-07-10","SC-20230",4
1925,"CA-2017-126865","2017-12-05","92.94",3,"0.00","41.82","2017-12-07","NP-18325",4
1926,"CA-2017-102834","2017-03-09","199.98",2,"0.00","69.99","2017-03-13","LW-16990",2
1927,"US-2016-139710","2016-06-09","177.48",3,"0.20","19.97","2016-06-15","GM-14680",2
1928,"CA-2017-121538","2017-11-28","88.77",2,"0.20","31.07","2017-12-01","RH-19495",1
1929,"US-2017-101539","2017-03-16","6.48",1,"0.00","3.11","2017-03-18","VM-21685",4
1930,"US-2017-101539","2017-03-16","46.51",1,"0.00","1.86","2017-03-18","VM-21685",4
1931,"US-2017-101539","2017-03-16","659.98",3,"0.20","49.50","2017-03-18","VM-21685",4
1932,"CA-2016-152121","2016-11-27","271.99",1,"0.20","23.80","2016-11-29","CC-12670",4
1933,"CA-2017-161200","2017-08-06","145.74",3,"0.00","23.32","2017-08-10","SV-20365",4
1934,"CA-2017-161200","2017-08-06","15.40",5,"0.00","7.39","2017-08-10","SV-20365",4
1935,"CA-2017-101245","2017-11-27","244.55",5,"0.00","114.94","2017-12-03","LW-16990",2
1936,"CA-2017-101245","2017-11-27","166.16",8,"0.00","59.82","2017-12-03","LW-16990",2
1937,"CA-2015-141768","2015-05-25","14.73",3,"0.00","4.86","2015-05-27","NP-18685",4
1938,"CA-2016-112109","2016-07-08","19.97",2,"0.70","-13.31","2016-07-12","JE-15715",2
1939,"CA-2016-112109","2016-07-08","33.49",7,"0.20","-1.26","2016-07-12","JE-15715",2
1940,"CA-2016-112109","2016-07-08","8.74",4,"0.70","-6.12","2016-07-12","JE-15715",2
1941,"CA-2016-112109","2016-07-08","662.88",3,"0.20","74.57","2016-07-12","JE-15715",2
1942,"CA-2017-144064","2017-08-29","47.36",4,"0.20","17.76","2017-09-01","CP-12085",1
1943,"CA-2017-144064","2017-08-29","27.44",2,"0.20","2.40","2017-09-01","CP-12085",1
1944,"CA-2017-144064","2017-08-29","3.24",9,"0.80","-5.18","2017-09-01","CP-12085",1
1945,"CA-2016-108581","2016-06-20","95.97",4,"0.20","26.39","2016-06-26","EA-14035",2
1946,"CA-2016-108581","2016-06-20","10.37",2,"0.20","3.63","2016-06-26","EA-14035",2
1947,"CA-2017-157987","2017-09-02","23.10",2,"0.00","6.47","2017-09-06","AC-10615",2
1948,"CA-2017-157987","2017-09-02","11.54",2,"0.00","3.46","2017-09-06","AC-10615",2
1949,"CA-2017-157987","2017-09-02","254.53",1,"0.40","-93.33","2017-09-06","AC-10615",2
1950,"CA-2017-157987","2017-09-02","12.98",1,"0.00","3.76","2017-09-06","AC-10615",2
1951,"CA-2017-157987","2017-09-02","26.43",8,"0.20","8.92","2017-09-06","AC-10615",2
1952,"CA-2017-157987","2017-09-02","197.97",3,"0.00","57.41","2017-09-06","AC-10615",2
1953,"CA-2017-157987","2017-09-02","18.90",6,"0.00","9.07","2017-09-06","AC-10615",2
1954,"CA-2017-157987","2017-09-02","1282.41",5,"0.10","213.74","2017-09-06","AC-10615",2
1955,"CA-2017-157987","2017-09-02","4.92",3,"0.00","2.21","2017-09-06","AC-10615",2
1956,"CA-2017-157987","2017-09-02","238.00",2,"0.00","38.08","2017-09-06","AC-10615",2
1957,"CA-2017-157987","2017-09-02","167.97",3,"0.00","40.31","2017-09-06","AC-10615",2
1958,"CA-2017-157987","2017-09-02","17.12",4,"0.00","7.70","2017-09-06","AC-10615",2
1959,"CA-2017-110905","2017-09-10","16.20",3,"0.00","7.78","2017-09-15","RW-19690",4
1960,"CA-2017-110905","2017-09-10","33.99",3,"0.00","14.62","2017-09-15","RW-19690",4
1961,"CA-2017-110905","2017-09-10","296.85",5,"0.00","53.43","2017-09-15","RW-19690",4
1962,"CA-2017-110905","2017-09-10","112.80",6,"0.00","6.77","2017-09-15","RW-19690",4
1963,"CA-2017-110905","2017-09-10","13.71",3,"0.00","6.58","2017-09-15","RW-19690",4
1964,"CA-2017-110905","2017-09-10","24.90",5,"0.00","11.70","2017-09-15","RW-19690",4
1965,"CA-2017-110905","2017-09-10","286.29",3,"0.00","17.18","2017-09-15","RW-19690",4
1966,"CA-2017-110905","2017-09-10","24.18",2,"0.00","7.25","2017-09-15","RW-19690",4
1967,"CA-2017-165841","2017-12-21","281.97",3,"0.00","78.95","2017-12-28","DB-13210",2
1968,"CA-2017-165841","2017-12-21","69.50",5,"0.00","20.16","2017-12-28","DB-13210",2
1969,"CA-2017-165841","2017-12-21","166.44",3,"0.00","79.89","2017-12-28","DB-13210",2
1970,"CA-2017-117485","2017-09-23","","","","","2017-09-29","BD-11320",2
1971,"CA-2017-140242","2017-05-06","6.41",3,"0.20","0.64","2017-05-11","ML-17755",2
1972,"CA-2017-140242","2017-05-06","","","","","2017-05-11","ML-17755",2
1973,"CA-2014-148950","2014-12-14","5.10",4,"0.80","-8.68","2014-12-19","JD-16015",2
1974,"CA-2014-148950","2014-12-14","2.90",2,"0.20","0.47","2014-12-19","JD-16015",2
1975,"CA-2014-148950","2014-12-14","35.02",3,"0.20","-2.19","2014-12-19","JD-16015",2
1976,"CA-2014-110408","2014-10-18","275.97",3,"0.00","11.04","2014-10-20","AS-10225",4
1977,"CA-2014-110408","2014-10-18","1394.95",5,"0.00","362.69","2014-10-20","AS-10225",4
1978,"CA-2014-110408","2014-10-18","545.88",6,"0.00","70.96","2014-10-20","AS-10225",4
1979,"CA-2015-109939","2015-05-08","5.25",2,"0.20","0.59","2015-05-12","AA-10375",2
1980,"CA-2016-112669","2016-04-14","933.54",4,"0.20","105.02","2016-04-14","KT-16465",3
1981,"CA-2016-112669","2016-04-14","42.98",4,"0.20","4.30","2016-04-14","KT-16465",3
1982,"CA-2015-119592","2015-12-14","3.76",2,"0.00","1.80","2015-12-16","MM-18280",4
1983,"CA-2014-122749","2014-12-03","479.96",4,"0.00","134.39","2014-12-09","NG-18430",2
1984,"CA-2014-164721","2014-11-25","320.88",6,"0.00","93.06","2014-11-27","LW-16825",4
1985,"CA-2014-164721","2014-11-25","23.88",3,"0.00","10.51","2014-11-27","LW-16825",4
1986,"CA-2014-164721","2014-11-25","26.76",4,"0.00","12.31","2014-11-27","LW-16825",4
1987,"CA-2016-147417","2016-07-25","1439.98",4,"0.40","192.00","2016-07-27","CB-12415",1
1988,"CA-2015-127509","2015-11-09","17.22",3,"0.00","7.92","2015-11-13","AS-10090",2
